userId,gridExp,logicExp,genreOrder,narrOrder,modeMap,trainMode,ballroomMode,chiliMode,tutorialTime,tutorialSlide,category,numPuzzles,totalTime,averageTime
smJkLWbJ4dP6d99j1iiAUk3jdX22,1,2,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['if', 'hints', 'nar']","{'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar'}",if,hints,nar,134311,11,intermediate,3,1320799.0,440266.3333333333
lZxbhyYzefUwSf6PoMF6G5aYl7D2,1,1,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['if', 'hints', 'nar']","{'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar'}",if,hints,nar,626318,11,novice,1,4480.0,4480.0
C69QPp0TAFMaUjRTGYmPP9qtYV12,1,1,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['nar', 'hints', 'if']","{'The Great Chili Competition': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'if'}",if,hints,nar,117292,11,novice,2,2122590.0,1061295.0
6dJh0c29lvQgWS2tfig2uJ7jicy2,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['hints', 'if', 'nar']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'if', 'The Great Chili Competition': 'nar'}",if,hints,nar,89293,11,intermediate,1,516726.0,516726.0
48B5w6COCQOWIDfPHuovb5BgpJB2,2,1,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['if', 'nar', 'hints']","{'The Wild Rose Train': 'if', 'The Great Chili Competition': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",if,hints,nar,114728,11,expert,3,1458014.0,486004.6666666667
JiY9j5ia36Zp3Cm4j7KxAsTOxbA2,1,1,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['hints', 'nar', 'if']","{'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'if'}",if,nar,hints,83458,11,novice,1,15946.0,15946.0
FreFVBMBEQQ0ZKRe9r398Rj8nWE2,1,1,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['hints', 'if', 'nar']","{'The Wild Rose Train': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if', 'The Great Chili Competition': 'nar'}",hints,if,nar,153790,11,novice,3,1210521.0,403507.0
Ym4jtG3oJGhkKEpztgrq1rzGJT02,1,1,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['if', 'hints', 'nar']","{'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'nar'}",nar,hints,if,281653,11,novice,2,1238354.0,619177.0
4dUjENeX9zOZP9LcAvpaJRWaNuu2,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['hints', 'if', 'nar']","{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'if', 'The Wild Rose Train': 'nar'}",nar,hints,if,269313,11,intermediate,1,623599.0,623599.0
NDOnKGmFqWfikeqvRJTicPQbBjr1,1,1,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['if', 'nar', 'hints']","{""Lady Rose's Chrysanthemum Ball"": 'if', 'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints'}",hints,if,nar,115063,11,novice,4,536287.0,134071.75
vcEdeTXeK5e681hgmcjTtV6eyko2,1,2,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","['nar', 'if', 'hints']","{""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'if', 'The Great Chili Competition': 'hints'}",if,nar,hints,309660,11,intermediate,1,8952919.0,8952919.0
SeLKouxO71fKp40E7gmcKDWlpkV2,1,2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['hints', 'nar', 'if']","{'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'if'}",if,nar,hints,52283,11,intermediate,2,91276.0,45638.0
x1zXDG2MLfc6szM61Gqqi24rCMW2,2,2,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['nar', 'hints', 'if']","{'The Wild Rose Train': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'if'}",nar,hints,if,24921,11,expert,1,90854.0,90854.0
0SvZv0FNEzUad4GWOpkU4EMJmwv1,1,1,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['nar', 'if', 'hints']","{""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Great Chili Competition': 'if', 'The Wild Rose Train': 'hints'}",hints,nar,if,22937,11,novice,4,543363.0,135840.75
